vendor,quote_number,total2,requisition_number,requisition_date,po_number,po_date,VENDOR INVOICE REQUESTED DATE,RECEIVED INVOICE DATE,invoice_number,invoice_date,received_date,sent_to_ap_date,notes,status,URL
BLEJWAS ASSOCIATES INC,,"$1,061.04 ",FPO0090033,12/31/2024,,,,12/30/2024,77929,12/17/2024,,,,Requisition,FPO0090033 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$754.20 ,FPO0090061,12/31/2024,,,,12/31/2024,1888,12/31/2024,,,,Requisition,FPO0090061 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$800.10 ,FPO0090069,12/31/2024,,,,12/31/2024,1887,12/31/2024,,,,Requisition,FPO0090069 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,,,FPO0090080,12/31/2024,,,,,,,,,Submited by ER - LED Light fixtures supplies + TV repair ,Requisition,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3D37369b3533f2129061ab45659d5c7b25%26sysparm_view%3DAssetUser%26sysparm_domain%3Dnull%26sysparm_domain_scope%3Dnull
RAMM INC,,"$2,042.31 ",FPO0090114,1/2/2025,,,,1/2/2025,66433,12/31/2024,,,,Requisition,FPO0090114 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$702.00 ,FPO0090117,1/2/2025,,,,1/2/2025,66434,12/31/2024,,,,Requisition,FPO0090117 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$702.00 ,FPO0090118,1/2/2025,,,,1/2/2025,66435,12/31/2024,,,,Requisition,FPO0090118 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$2,011.10 ",FPO0087263,11/8/2024,728046678,11/12/2024,,11/8/2024,66191,11/8/2024,12/18/2024,12/19/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0087263 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,"$3,338.00 ",FPO0088280,11/26/2024,728046987,12/2/2024,,11/26/2024,1822,11/25/2024,12/3/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088280 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,,$197.10 ,FPO0088320,11/26/2024,728046951,11/27/2024,,11/26/2024,1823,11/26/2024,12/2/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088320 | Facilities Requisition | ServiceNow (service-now.com)
LABOV SUPPLY CO INC,Quote # S1554727,$563.08 ,FPO0088338,11/26/2024,728047025,12/4/2024,12/5/2024,12/12/2024,S1554727.001,12/10/2024,12/12/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0088338 | Facilities Requisition | ServiceNow (service-now.com)
DELVAL EQUIPMENT CORP,EST27809-01,"$1,800.00",FPO0085830,10/18/2024,728046379,10/22/2024,10/24/2024,12/23/2024,INV013298,12/19/2024,12/23/2024,12/24/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0085830 | Facilities Requisition | ServiceNow (service-now.com)
LIMBACH COMPANY LLC,Quote # P15833,"$2,030.00",FPO0086688,10/31/2024,728046528,10/31/2024,11/1/2024,12/4/2024,31385,12/2/2024,12/4/2024,12/4/2024,"PO Approved, Invoice Received, Work hours completed 12/24/2024. Sent to AP",Sent To AP ,FPO0086688 | Facilities Requisition | ServiceNow (service-now.com)
PAUL J GRECO JR,Quote/Proposal R/R 11/05/2024,$890.00,FPO0087291,11/8/2024,728046667,11/11/2024,11/11/2024,12/27/2024,SON - Hopper Window,12/7/2024,12/27/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0087291 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,Quote - Project: DA Tank – Pump #1 Replace Seal,"$3,740.00",FPO0085445,10/11/2024,728046234,10/11/2024,10/14/2024,1/3/2025,66448,1/2/2025,1/6/2025,1/6/2025,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0085445 | Facilities Requisition | ServiceNow (service-now.com)
REMAR TECHNOLOGIES,Quote # RQT0011253,"$2,459.02",FPO0086537,10/29/2024,728046511,10/31/2024,11/1/2024,11/25/2024,RINV0013637,11/25/2024,12/3/2024,12/4/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0086537 | Facilities Requisition | ServiceNow (service-now.com)
UNION ELECTRIC CONTRACTING CO,Quote # 240832,"$5,740.00",FPO0086689,10/31/2024,728046548,11/4/2024,11/5/2024,12/11/2024,206794-60110-1,12/11/2024,12/11/2024,12/13/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0086689 | Facilities Requisition | ServiceNow (service-now.com)
WIRELESS ELECTRONICS INC,QUOTE # 24RM241026-02,$234.00,FPO0086406,10/28/2024,728046479,10/30/2024,11/5/2024,12/3/2024,S21124438,11/27/2024,12/6/2024,12/10/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0086406 | Facilities Requisition | ServiceNow (service-now.com)
MARK COSTELLO CO,Quote # MC 619,$745.29,FPO0087481,11/13/2024,728046756,11/18/2024,11/20/2024,12/11/2024,0145217-IN,12/11/2024,12/31/2024,12/31/2024,"PO Approved, Invoice Received, and Sent to AP",Sent To AP ,FPO0087481 | Facilities Requisition | ServiceNow (service-now.com)
